genre,count
"Play/Drama",942
"One act",373
"Musical",353
"Translation",279
"Comedy",260
"Drama",176
"adaptation",148
"Adaptation",114
"short play",104
"Short play",99
"piece",83
"Ten minute play",76
"Piece",68
"Childrens play",66
"Monologue play",63
"Comedy One act",56
"Youth play",45
"musical",44
"One Act",40
"Play/drama",37
"Gay/Lesbian, of interest",35
"comedy",35
"Drama One act",31
"Gay, full length",27
"Childrens Youth audience",26
"Ten Min",24
"Youth one act",24
"30 min Comedy",23
"0",22
"Scots Comedy One act",21
"2 acts Play/Drama",21
"Thriller",21
"Play/Drama. - - Gay, full length",20
"Short Play One act",19
"TYA",19
"one act play",18
"Performance piece",17
"Revue Show",16
"Play/ Drama",16
"one act",15
"Gay full length",15
"Scots Play One act",14
"Devised Piece",14
"ten min play",14
"Satire",13
"full length Play/Drama",13
"One act comedy",12
"comedy One act",12
"translation",12
"Play With Music",12
"Play One act",12
"Pantomime - Full Length, Fairy Tale (Traditional)",12
"Farce",12
"drama",11
"One-act Musical for Children",11
"Solo Play/Drama",11
"Musical Comedy Musical",11
"Musical Play Musical",10
"pantomime",10
"Childrens one act",10
"Black comedy",10
"Youth audience",9
"Mystery",9
"Pantomime",9
"Lesbian, full length",9
"play Ten Min",8
"Gay one act",8
"Mime",8
"Youth short play",8
"short plays",8
"Rehearsed Reading",7
"ten min",7
"Fantasy",7
"Romantic Comedy Comedy",7
"Fifteen minute play",7
"Play with Music",7
"Black Comedy Comedy",7
"Play",7
"Comedy. - - Gay, full length",7
"Performance Piece",7
"physical theatre Piece",7
"One act. - - Gay, one act",7
"short monologue",6
"Ten-minute comedy",6
"10 min play",6
"Full length Drama",6
"Puppet",6
"2 act Musical Christmas Pantomime Pantomime",6
"short piece",6
"thriller",6
"Show",6
"Childrens One act Youth audience",6
"Monologue play. - - Gay, full length",6
"musical comedy",6
"Stage play 3 acts",6
"AIDS one act",6
"Domestic Drama Play/Drama",6
"Short Comedy One act",5
"Play/Drama. - - Gay/Lesbian, of interest",5
"monologue",5
"Historical Drama",5
"45 min piece",5
"short comedy",5
"Play/Drama. - - Gay, theme/character, full length",5
"Three-act Scots Comedy Comedy",5
"physical theatre",5
"play with music",5
"Christmas Show",5
"Two acts Play/Drama",5
"one act comedy",5
"One act Comedy",5
"Radio Play",5
"Verse Drama",5
"comedy Ten min",5
"Documentary drama",5
"Youth theatre",5
"Modern Drama Play/Drama",5
"play",5
"Play/Drama (reading)",5
"full length play",5
"full legth Comedy",4
"Opera",4
"Play/Drama 90 min",4
"Short Play",4
"Dramady One act",4
"Musical. - - Gay/Lesbian, musical",4
"Musical One act",4
"Drama, full length",4
"Gay short play",4
"15 min play",4
"short play One act",4
"90 min one act",4
"Drama. - - Gay, full length",4
"Horror",4
"Musical. - - Gay/Lesbian musical",4
"Comedy Thriller Thriller",4
"Morality Play",4
"Gay/Lesbian, musical",4
"play One act",4
"Dance Drama",4
"biographical drama",4
"dance theatre",4
"dark comedy",4
"Thirty minute play",4
"120 min Play/Drama",4
"Three act Play/Drama",4
"60 min Piece",4
"revue Musical",4
"Ten minute musical",4
"One act, Drama",4
"Revue",4
"musical event",4
"site specific",4
"One act drama",3
"Childrens play One act",3
"10-15 min Comedy",3
"Stage play One act",3
"Tragedy",3
"Comedic Drama One act",3
"Thriller One act",3
"Monologue play. - - Lesbian, full length",3
"10 min",3
"Historical",3
"one act 30 min",3
"episodic play",3
"comedy Drama",3
"Documentary Documentary",3
"Play/Drama for Young People",3
"contemporary, musical theatre",3
"One act. - - Lesbian, one act",3
"Comedy/Drama Comedy",3
"comedy thriller",3
"play 90 min",3
"Ten-minute Drama",3
"Nativity",3
"Youth Youth audience",3
"Romantic Comedy",3
"romantic comedy",3
"Ten min play",3
"Play/Drama. - - Lesbian, full length",3
"Ten min",3
"Science fiction",3
"Gay comedy full length",3
"3 min play",3
"Gay, theme/character, full length",3
"15 min",3
"50 min One act",3
"work in progress",3
"Drama FringeHIGH, 60 min Play/Drama",3
"Stage play",3
"comedy for women One act",3
"mystery One act",3
"Gay drama full length",3
"Comedy Drama Comedy",3
"short musical",3
"One act Play/Drama",3
"Dance Play",3
"Three acts Play/Drama",3
"Gay, one act",3
"Domestic Comedy",3
"Comedy one act",3
"Lesbian drama full length",3
"Historical drama",3
"Dramedy One act",3
"Monologue",3
"Poetic Drama",3
"Musical one act",3
"One act - ten minutes",3
"Three acts for Women Play/Drama",3
"Play Drama",3
"Sketches, Monologues and Music Hall",3
"Play with songs Play with Music",3
"Multi-media",3
"Political Drama",3
"comedy adaptation",3
"Drama/Comedy",3
"60 min play",2
"One min play",2
"Cabaret-Style Musical Play Musical",2
"One act Musical",2
