publisher,count
"english Theatre Guild, London, 1962 -",1
"Collins educational (14 Jan 2013)",1
"Rex Collings, London, 1981",1
"(Scottish Plays No. 126). Brown, Son & Ferguson. N.D., -",1
"playtext was published by Frascati in association with the defunct theatre magazine aLLIGaTORin THREE PLaYS by Anthony aKERMaN (Witwatersrand University Press) -",1
"Jonathan Cape, London, 1973 -",2
"Faber and Faber, London (2009)Samuel French, London (2010)",1
"Exposition, New York, 1970 -",1
"Hutchinson, London, 1979",1
"Nick Hern Books, London , -",1
"Playscripts, Inc - New York -",80
"athenaeum, New York, 1962 -",1
"(Scottish Plays No. 134). Brown, Son & Ferguson. N.D., -",1
"The Australian Script Centre , 2006 -",1
"in ""Plays of the Year 23"" elek, London, 1962 -",1
"Methuen, London, 1965 -",1
"(Scottish Plays No. 12). Brown, Son & Ferguson. N.D., -",1
"Granite Hills PR",1
"Wood, e.R. (ed.), the Sixth Windmill Book Of One-act Plays, 1972",1
"JAC Publishing. Oct 2005",1
"(Scottish Plays No. 184). Brown, Son & Ferguson, 1989 -",1
"Kraft Books, Ibadan (Nigeria)., 2006 -",1
"in ""Adamov, A., Two Plays"" Calder & Boyars, London, 1962",2
"Faith Printers International, Zaria, Nigeria, 2007 -",1
"Samuel French Ltd (April 1994)",1
"Dramatists Play Service, Inc",1
"Josef Weinberger, London,",1
"in For ladies only : five one-act plays with all women casts, Playlab Press, Brisbane, Australia, 1988 -",5
"Hammond, Hammond & Co.; 1st edition edition (1943)",1
"University of the West Indies, Mona, 1958 -",1
"Freshwater Theatre Press of Minneapolis, MN, in the compilation book: Better or Worse: the Anthology. -",1
"Victor Gollancz Ltd, 1932",1
"Playwrights Co-op, Toronto, 2001 -",1
"included in The Best 10-Minute Plays of 2016 (Smith and Kraus)",1
"Contained in: ""Parcel Post & Behind The Mountain"" published by African Books Collective 2001",2
"in ""Scripts 9"", New York, September, 1972 -",1
"(Evans One act Plays). eB, 1968 -",1
"McPherson 1990",1
"PRISM International/Playwrights Canada Press (www.playwrightscanada.com)",1
"International Connections: New Plays for Young People, Faber and Faber, London, 2002",1
"Faber and Faber, London, 1989 -",1
"Playscripts, Inc (2010)",1
"athenaeum, New York, 1971 -",1
"(Scottish Plays No. 168). Brown, Son & Ferguson. N.D., -",1
"athenaeum, New York, 1980 -",1
"Faber and Faber, London, 2006",1
"Samuel French, London (2016)",1
"Samuel French, London, 1958 -",2
"http://www.broadwayplaypubl.com/twist.php",1
"Eyre Methuen, London, 1973",1
"Oberon Books, London (2009)",2
"Samuel French Ltd, London -",2
"Contained in: ""Broadway's Best 1960"" published by Doubleday 1960",1
"Methuen, London,",1
"Best 10-Minute Plays 2013 Plays For Two Actors. Published by Smith and Kraus, Inc. -",1
"Contained in: ""Sixth Windmill Book Of One act Plays"" published by Heinemann educational 1972 -",1
"Contained in: ""The Persians and Other Plays"" published by Penguin Books 2009",4
"Longman, accra, 1965 -",1
"Contained in: ""Teenage Plays For Classroom Reading"" published by Plays Inc 1971 -",1
"Samuel French, NY, 1977 -",1
"Oxford University Press 2013",1
"in ""anouilh Five Plays Vol 2"" French, New York,",2
"Contained in: ""Persians, Seven Against Thebes and Suppliants"" published by Johns Hopkins University Press 2011",3
"Dramatists Play Service, NY, 2005 -",1
"Samuel French, NY, 1978 -",1
"artage's Senior Theatre Resource Center www.seniortheatre.com 2012 -",2
"ms, 1993 -",1
"IUniverse (2007)",3
"Faber and Faber Ltd, London (1965) -",1
"Crown, New York, 1958 -",1
"in ""Modern Drama"", Ginn, Boston, Massachusetts, 1963 -",1
"Eyre Methuen, London, 1980",1
"https://jacobmappel.com/helen-of-sparta-free-play",1
"(Scottish Plays No. 26). Brown, Son & Ferguson. N.D., -",1
"aRaN Press, Louisville, 1985 -",1
"Contained in: ""Three Plays"" published by Amber Lane 2000",3
"Samuel French, London, 1959 -",2
"Theatre Communications Group -",1
"in TCG's Plays in Process series, -",1
"Lazy Bee Scripts, 2002 -",2
"Samuel French Inc, NY, -",1
"eyre Methuen, London, 1981 -",1
"the Year Book Press Series of Plays, Kenyon-Deane, 1937",1
"Contained in: ""Scraping The Surface - Three Plays"" published by NeWest Press 20000",3
"Contained in: ""Perfectly abnormal: Seven Gay Plays"" published by Playwrights Canada Press,",1
"G. Gordon Shillingford Publishing (Scirocco Drama), 2002 -",1
"Unavailable, -",1
"(Scottish Plays No. 176). Brown, Son & Ferguson. N.D., -",1
"PLCN Chapbook, 1987 -",1
"International theater Bookshop edition, I S B N: -, -",1
"(Scottish Plays No. 96). Brown, Son & Ferguson. N.D., -",1
"(Scottish Plays No. 148). Brown, Son & Ferguson. N.D., -",1
"Talon Books, Vancouver, B.C., 2005",1
"in ""Collected Plays 1"" Methuen, London, 1966",2
"Faber & Faber, London",1
"Faith Printers International, Zaria Nigeria (2009)",1
"Nick Hern Books, London, -",2
"in ""New Plays Quarterly No.63"" Evans Brothers, London, 1963 -",1
"Coward-McCann, New York, 1960 -",3
"Hamish Hamilton, London, 1976 -",3
"Samuel French, Inc. in More Ten-Minute Plays from Actors Theatre of Louisville and in the journal art Teatral: Cuadernos de Minipiezas Ilustrades, -",1
