LEVEL,RULE,RULETEXT,FILENAME,LOCATION
error,sourceType-module,'import' and 'export' may appear only with 'sourceType: module',#/eslint.config.mjs,1:1
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/core/Config.ts,56:36
warning,consistent-type-imports,"Imports ""Db"" and ""Collection"" are only used as type",#/src/core/DatabaseService.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/core/DatabaseService.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/core/DatabaseService.ts,4:1
warning,import/order,`../db-types/author/author.schema` import should occur before type import of `mongodb`,#/src/core/DatabaseService.ts,5:1
warning,import/order,`../db-types/play/play.schema` import should occur before type import of `mongodb`,#/src/core/DatabaseService.ts,6:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/core/DatabaseService.ts,19:6
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,49:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,89:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,98:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,100:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,113:7
error,no-unsafe-member-access,Unsafe member access .key on an `any` value,#/src/core/DatabaseService.ts,151:26
error,no-unsafe-member-access,Unsafe member access .key on an `any` value,#/src/core/DatabaseService.ts,151:60
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,179:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,184:9
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,190:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,192:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,197:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,207:11
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,219:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,223:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,225:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,227:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,229:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/DatabaseService.ts,230:5
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/core/ModuleWriter.ts,4:6
warning,no-explicit-any,Unexpected any. Specify a different type,#/src/core/ModuleWriter.ts,6:24
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/core/ModuleWriter.ts,11:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/core/ModuleWriter.ts,18:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/core/ModuleWriter.ts,23:6
error,no-inferrable-types,"Type string trivially inferred from a string literal, remove type annotation",#/src/core/ModuleWriter.ts,29:3
error,no-inferrable-types,"Type string trivially inferred from a string literal, remove type annotation",#/src/core/ModuleWriter.ts,30:3
error,no-inferrable-types,"Type boolean trivially inferred from a boolean literal, remove type annotation",#/src/core/ModuleWriter.ts,32:3
error,no-empty-function,Unexpected empty constructor,#/src/core/ModuleWriter.ts,38:25
warning,no-non-null-assertion,Forbidden non-null assertion,#/src/core/ModuleWriter.ts,107:17
error,no-inferrable-types,"Type boolean trivially inferred from a boolean literal, remove type annotation",#/src/core/ModuleWriter.ts,175:22
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/ModuleWriter.ts,181:7
warning,consistent-type-imports,"Imports ""Browser"" and ""Page"" are only used as type",#/src/core/WebScraper.ts,1:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/core/WebScraper.ts,19:6
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/core/WebScraper.ts,29:40
error,no-empty-function,Unexpected empty constructor,#/src/core/WebScraper.ts,32:25
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,38:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,39:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,42:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,43:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,48:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,51:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,53:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,55:7
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/core/WebScraper.ts,65:37
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,70:7
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/core/WebScraper.ts,73:34
error,prefer-includes,Use `String#includes()` method with a string instead,#/src/core/WebScraper.ts,86:11
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/core/WebScraper.ts,116:7
warning,consistent-type-imports,"Imports ""Document"" are only used as type",#/src/db-types/author/Author.class.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/db-types/author/Author.class.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/db-types/author/Author.class.ts,2:1
warning,import/order,`./author.types` type import should occur after import of `../../utils/stringUtils`,#/src/db-types/author/Author.class.ts,2:1
error,no-inferrable-types,"Type boolean trivially inferred from a boolean literal, remove type annotation",#/src/db-types/author/Author.class.ts,65:3
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/author/Author.class.ts,132:38
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/author/Author.class.ts,330:57
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/author/Author.class.ts,360:44
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/db-types/author/Author.class.ts,374:11
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,375:25
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,376:29
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,377:29
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,378:29
error,no-unsafe-member-access,Unsafe member access .isOrganization on an `any` value,#/src/db-types/author/Author.class.ts,380:25
error,no-unsafe-member-access,Unsafe member access .isOrganization on an `any` value,#/src/db-types/author/Author.class.ts,381:29
error,no-unsafe-return,Unsafe return of a value of type `any`,#/src/db-types/author/Author.class.ts,384:5
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/db-types/author/author.types.ts,7:13
warning,import/order,There should be at least one empty line between import groups,#/src/db-types/play/Play.class.ts,1:1
